timestamp,objectID,startX,startY,endX,endY
2026-01-06T08:12:34.329489,8,0,1,510,509
2026-01-06T08:12:34.435500,8,0,1,510,509
2026-01-06T08:12:34.547068,8,1,4,509,510
2026-01-06T08:12:34.657674,8,0,1,510,509
2026-01-06T08:12:34.768478,8,0,1,510,509
2026-01-06T08:12:34.879643,8,0,1,509,511
2026-01-06T08:12:35.004002,8,0,1,510,510
2026-01-06T08:12:35.098951,8,0,2,510,510
2026-01-06T08:12:35.223467,8,0,1,509,509
2026-01-06T08:12:35.345863,8,1,4,509,510
2026-01-06T08:12:35.440639,8,0,1,509,509
2026-01-06T08:12:35.549881,8,1,3,510,510
2026-01-06T08:12:35.643933,8,0,2,510,510
2026-01-06T08:12:35.755359,8,0,2,510,510
2026-01-06T08:12:35.883256,8,0,1,509,509
2026-01-06T08:12:35.987063,8,0,1,509,509
2026-01-06T08:12:36.082166,8,1,5,509,509
2026-01-06T08:12:36.204321,8,1,6,509,509
2026-01-06T08:12:36.314249,8,0,2,510,510
2026-01-06T08:12:36.422764,8,1,3,511,510
2026-01-06T08:12:36.547420,8,1,4,510,510
2026-01-06T08:12:36.670828,8,0,1,509,510
2026-01-06T08:12:36.797946,8,1,5,510,509
2026-01-06T08:12:36.908422,8,1,5,509,510
2026-01-06T08:12:37.016238,8,1,5,509,510
2026-01-06T08:12:37.138857,8,0,2,510,510
2026-01-06T08:12:37.294981,8,1,5,509,510
2026-01-06T08:12:37.419378,8,1,5,509,510
2026-01-06T08:12:37.542345,8,0,2,510,509
2026-01-06T08:12:37.669869,8,1,5,509,510
2026-01-06T08:12:37.757890,8,0,1,510,509
2026-01-06T08:12:37.869391,8,1,5,509,510
2026-01-06T08:12:37.977170,8,1,5,509,510
2026-01-06T08:12:38.073265,8,1,6,509,509
2026-01-06T08:12:38.166327,8,1,6,509,509
2026-01-06T08:12:38.275168,8,1,6,509,509
2026-01-06T08:12:38.367526,8,1,5,509,510
2026-01-06T08:12:38.463949,8,0,5,509,511
2026-01-06T08:12:38.556313,8,0,5,509,510
2026-01-06T08:12:38.650391,8,1,3,509,509
2026-01-06T08:12:38.745841,8,0,1,510,509
2026-01-06T08:12:38.871177,8,0,1,510,509
2026-01-06T08:12:38.965897,8,0,2,509,510
2026-01-06T08:12:39.076284,8,1,4,510,510
2026-01-06T08:12:39.203806,8,0,1,510,510
2026-01-06T08:12:39.325652,8,0,1,510,510
2026-01-06T08:12:39.421731,8,0,5,509,511
2026-01-06T08:12:39.545274,8,1,5,510,509
2026-01-06T08:12:39.671906,8,1,5,509,510
2026-01-06T08:12:39.795148,8,1,5,509,510
2026-01-06T08:12:39.920114,8,1,5,509,510
2026-01-06T08:12:40.032362,8,1,6,509,510
2026-01-06T08:12:40.140725,8,1,3,510,510
2026-01-06T08:12:40.264207,8,1,3,510,510
2026-01-06T08:12:40.385388,8,1,4,510,510
2026-01-06T08:12:40.479467,8,1,4,509,510
2026-01-06T08:12:40.587138,8,1,4,510,510
2026-01-06T08:12:40.699064,8,0,3,509,511
2026-01-06T08:12:40.805999,8,0,2,509,510
2026-01-06T08:12:40.898857,8,0,3,509,511
2026-01-06T08:12:40.994913,8,0,2,510,510
2026-01-06T08:12:41.115974,8,0,2,510,510
2026-01-06T08:12:41.225782,8,0,2,510,510
2026-01-06T08:12:41.336128,8,0,1,509,509
2026-01-06T08:12:41.459845,8,0,1,509,509
2026-01-06T08:12:41.552883,8,0,1,510,509
2026-01-06T08:12:41.647010,8,0,1,510,510
2026-01-06T08:12:41.741807,8,0,1,509,509
2026-01-06T08:12:41.833469,8,0,1,510,509
2026-01-06T08:12:41.927192,8,0,1,510,509
2026-01-06T08:12:42.020878,8,0,1,509,510
2026-01-06T08:12:42.114664,8,0,2,510,509
2026-01-06T08:12:42.222716,8,0,1,510,509
2026-01-06T08:12:42.332351,8,0,1,510,509
2026-01-06T08:12:42.457343,8,0,1,510,509
2026-01-06T08:12:42.579975,8,0,1,509,509
2026-01-06T08:12:42.675728,8,0,1,510,509
